Time,Lon,Lat,Mag,Depth,Description
2012-01-09T04:07:15.020000Z,165.3084,-10.5892,6.4,33300.0,SANTA CRUZ ISLANDS
2012-01-10T18:37:00.190000Z,93.2081,2.4307,7.2,20900.0,OFF W COAST OF NORTHERN SUMATRA
2012-01-15T13:40:21.400000Z,-55.8579,-60.701,6.6,17300.0,SOUTH SHETLAND ISLANDS
2012-01-15T14:21:34.410000Z,-56.0334,-60.8685,6.0,23000.0,SOUTH SHETLAND ISLANDS
2012-01-21T18:47:13.480000Z,-93.1422,14.933,6.2,63500.0,"NEAR COAST OF CHIAPAS, MEXICO"
2012-01-22T05:53:43.130000Z,-25.2293,-56.9317,6.0,18700.0,SOUTH SANDWICH ISLANDS REGION
2012-01-23T16:04:53.300000Z,-73.1816,-36.4552,6.1,23500.0,NEAR COAST OF CENTRAL CHILE
2012-01-24T00:52:04.760000Z,178.5999,-24.8986,6.3,579000.0,SOUTH OF FIJI ISLANDS
2012-01-30T05:10:59.460000Z,-75.6584,-14.2139,6.4,34200.0,NEAR COAST OF PERU
2012-02-02T13:34:41.010000Z,167.1814,-17.7532,7.0,27300.0,VANUATU ISLANDS
